timestamp,open,high,low,close,volume
2025-07-23 23:00:00,118568.99,118684.05,118568.98,118684.04,33.77839
2025-07-23 23:05:00,118684.04,118698.58,118674.2,118697.72,28.15393
2025-07-23 23:10:00,118697.72,118729.81,118697.72,118716.2,50.2844
2025-07-23 23:15:00,118716.2,118716.21,118646.1,118678.49,80.0528
2025-07-23 23:20:00,118678.49,118703.72,118567.17,118580.58,33.27401
2025-07-23 23:25:00,118580.58,118672.6,118508.09,118640.57,47.1436
2025-07-23 23:30:00,118640.57,118640.58,118421.86,118550.0,35.4522
2025-07-23 23:35:00,118550.0,118661.05,118534.9,118577.85,57.51527
2025-07-23 23:40:00,118577.85,118664.46,118560.31,118571.69,52.7606
2025-07-23 23:45:00,118571.68,118571.69,118498.0,118498.01,33.6051
2025-07-23 23:50:00,118498.0,118518.2,118478.43,118518.19,14.97616
2025-07-23 23:55:00,118518.2,118756.0,118518.19,118755.99,146.27483
2025-07-24 00:00:00,118756.0,118777.77,118626.35,118626.36,51.74567
2025-07-24 00:05:00,118626.35,118745.53,118571.17,118728.32,25.19905
2025-07-24 00:10:00,118728.32,118802.32,118727.52,118747.99,65.22349
2025-07-24 00:15:00,118747.99,118889.0,118680.0,118888.99,59.19664
2025-07-24 00:20:00,118888.99,118940.0,118887.04,118912.02,60.3945
2025-07-24 00:25:00,118912.02,119066.61,118845.49,119015.21,98.53642
2025-07-24 00:30:00,119015.2,119094.66,118890.2,119087.01,70.30407
2025-07-24 00:35:00,119087.01,119138.57,119045.79,119095.58,64.75106
2025-07-24 00:40:00,119095.58,119100.01,119019.36,119051.83,67.46389
2025-07-24 00:45:00,119051.83,119051.84,118920.0,119035.33,32.50157
2025-07-24 00:50:00,119035.33,119097.47,119035.33,119060.17,24.04154
2025-07-24 00:55:00,119060.17,119060.95,119011.1,119060.0,28.10093
2025-07-24 01:00:00,119060.01,119070.21,119007.79,119007.79,23.30056
2025-07-24 01:05:00,119007.8,119035.19,118883.11,118892.41,22.77051
2025-07-24 01:10:00,118892.4,118949.7,118836.0,118863.3,25.54536
2025-07-24 01:15:00,118863.3,119000.0,118863.29,118964.28,24.97635
2025-07-24 01:20:00,118964.29,119029.88,118898.57,119006.78,48.82228
2025-07-24 01:25:00,119006.78,119006.79,118950.44,118961.02,13.3047
2025-07-24 01:30:00,118961.03,118982.16,118880.01,118880.01,25.54306
2025-07-24 01:35:00,118880.01,119035.19,118787.32,118989.98,25.9881
2025-07-24 01:40:00,118989.97,119035.05,118904.0,118991.29,28.44583
2025-07-24 01:45:00,118991.29,119079.86,118957.21,119053.42,21.14644
2025-07-24 01:50:00,119053.42,119098.07,119049.89,119078.3,15.47897
2025-07-24 01:55:00,119078.3,119100.0,119078.29,119094.4,23.86173
2025-07-24 02:00:00,119094.4,119094.4,118993.27,118993.27,27.00931
2025-07-24 02:05:00,118993.27,119027.25,118933.09,118933.09,19.03193
2025-07-24 02:10:00,118933.1,118988.36,118898.3,118944.86,20.93366
2025-07-24 02:15:00,118944.86,118944.87,118843.1,118858.17,29.92042
2025-07-24 02:20:00,118858.17,118884.54,118811.62,118811.83,36.08901
2025-07-24 02:25:00,118811.83,118865.17,118808.44,118847.94,28.61069
2025-07-24 02:30:00,118847.94,118932.82,118847.93,118911.33,16.06188
2025-07-24 02:35:00,118911.32,118983.99,118900.26,118930.22,34.24179
2025-07-24 02:40:00,118930.21,119047.09,118930.21,119039.38,28.04983
2025-07-24 02:45:00,119039.37,119071.84,119003.71,119003.71,19.01979
2025-07-24 02:50:00,119003.7,119016.2,118933.09,118933.09,17.40553
2025-07-24 02:55:00,118933.1,118980.0,118907.79,118960.6,14.30705
2025-07-24 03:00:00,118960.6,119019.33,118940.01,119019.33,23.53479
2025-07-24 03:05:00,119019.33,119019.33,118894.59,118927.06,24.66221
2025-07-24 03:10:00,118927.07,118996.49,118927.06,118995.05,7.73606
2025-07-24 03:15:00,118995.06,119043.26,118995.05,119031.83,33.90931
2025-07-24 03:20:00,119031.84,119139.63,119031.83,119139.22,51.30971
2025-07-24 03:25:00,119139.22,119250.0,119120.0,119249.99,81.62905
2025-07-24 03:30:00,119249.99,119273.36,119088.0,119137.87,98.74251
2025-07-24 03:35:00,119137.88,119137.88,118965.36,118965.37,46.51575
2025-07-24 03:40:00,118965.37,119039.64,118933.09,118933.1,40.07143
2025-07-24 03:45:00,118933.09,118933.09,118680.98,118680.98,68.84905
2025-07-24 03:50:00,118680.98,118709.97,118622.7,118622.7,30.50251
2025-07-24 03:55:00,118622.71,118622.71,118466.71,118488.92,133.49735
2025-07-24 04:00:00,118488.92,118539.18,118184.88,118464.34,153.81734
2025-07-24 04:05:00,118464.34,118481.98,118371.61,118381.08,41.02057
2025-07-24 04:10:00,118381.08,118610.25,118282.48,118575.0,102.48163
2025-07-24 04:15:00,118575.0,118575.0,118431.08,118456.25,25.16712
2025-07-24 04:20:00,118456.26,118491.42,118284.25,118284.26,33.89594
2025-07-24 04:25:00,118284.25,118377.48,118250.07,118279.99,19.49537
2025-07-24 04:30:00,118279.99,118319.91,118190.96,118249.32,30.54717
2025-07-24 04:35:00,118249.32,118264.09,118102.84,118168.67,41.33903
2025-07-24 04:40:00,118168.67,118168.67,117873.18,117873.83,104.42177
2025-07-24 04:45:00,117873.83,118050.25,117873.82,118014.11,71.42904
2025-07-24 04:50:00,118014.11,118014.11,117835.03,117835.04,55.99644
2025-07-24 04:55:00,117835.04,118024.85,117830.0,117941.86,80.71935
2025-07-24 05:00:00,117941.86,117953.72,117851.62,117952.21,50.30271
2025-07-24 05:05:00,117952.2,117952.21,117709.59,117716.14,111.53962
2025-07-24 05:10:00,117716.14,117768.42,117620.0,117621.8,102.7961
2025-07-24 05:15:00,117621.81,117800.0,117570.9,117577.19,121.50717
2025-07-24 05:20:00,117577.19,117646.33,117544.0,117554.85,73.93315
2025-07-24 05:25:00,117554.85,117617.87,117500.0,117589.57,81.77168
2025-07-24 05:30:00,117589.57,117735.97,117553.15,117652.18,70.02429
2025-07-24 05:35:00,117652.17,117789.3,117640.7,117717.21,55.51229
2025-07-24 05:40:00,117717.21,117899.33,117717.21,117894.84,52.96493
2025-07-24 05:45:00,117894.84,117894.84,117744.46,117812.46,41.54612
2025-07-24 05:50:00,117812.45,117812.46,117626.4,117626.4,39.83446
2025-07-24 05:55:00,117626.41,117648.09,117500.0,117604.55,100.97864
2025-07-24 06:00:00,117604.54,117759.8,117582.06,117643.33,166.79539
2025-07-24 06:05:00,117643.33,117684.18,117617.32,117621.06,57.30279
2025-07-24 06:10:00,117621.06,117799.97,117620.01,117740.01,59.64774
2025-07-24 06:15:00,117740.01,117808.4,117500.0,117599.99,86.18396
2025-07-24 06:20:00,117600.0,117830.48,117575.64,117765.5,39.25206
2025-07-24 06:25:00,117765.51,117851.21,117765.5,117803.06,35.64715
2025-07-24 06:30:00,117803.06,117855.0,117758.22,117797.36,24.18077
2025-07-24 06:35:00,117797.35,117797.35,117603.9,117603.9,44.85904
2025-07-24 06:40:00,117603.91,117607.16,117450.0,117450.0,129.36153
2025-07-24 06:45:00,117450.01,117541.48,117428.14,117462.8,97.18188
2025-07-24 06:50:00,117462.8,117566.81,117380.03,117440.01,72.41664
2025-07-24 06:55:00,117440.0,117603.65,117389.97,117466.81,120.86659
2025-07-24 07:00:00,117466.81,117466.81,117260.24,117260.25,140.72519
2025-07-24 07:05:00,117260.25,117638.45,117103.1,117600.0,174.15004
