Metric,Value
total_return,-10031933.95092031
roi,-1.0
annualized_return,-1.0
sharpe_ratio,-23.449095440653338
sortino_ratio,-23.449095440653338
calmar_ratio,-0.09968167702183305
max_drawdown,10.031933950920312
max_drawdown_duration,0
volatility,53.90586093246505
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,32
winning_trades,0
losing_trades,17
win_rate,0.0
profit_factor,0.0
expectancy,-313497.9359662597
avg_win,0
avg_loss,590113.7618188418
avg_win_loss_ratio,0.0
consistency_score,0.41568188632084424
max_consecutive_wins,0
max_consecutive_losses,32
avg_holding_time_hours,0.8255208333333334
avg_trades_per_day,32.0
total_commission,-514.7909078308536
total_slippage,-13398769.770462073
sample_size,32
confidence_level,0
composite_score,0.062352282948126635
weighted_score,0.032066888373322264
