Metric,Value
total_return,-9886445.613120046
roi,-1.0
annualized_return,-1.0
sharpe_ratio,-87.92781086639569
sortino_ratio,-87.92781086639569
calmar_ratio,-0.10114858657320948
max_drawdown,9.886445613120046
max_drawdown_duration,0
volatility,14.167441847789856
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,38
winning_trades,0
losing_trades,17
win_rate,0.0
profit_factor,0.0
expectancy,-260169.62139789594
avg_win,0
avg_loss,581555.6243011792
avg_win_loss_ratio,0.0
consistency_score,0.26964705351836704
max_consecutive_wins,0
max_consecutive_losses,38
avg_holding_time_hours,0.5021929824561403
avg_trades_per_day,38.0
total_commission,614.2899431597632
total_slippage,12812035.70650925
sample_size,38
confidence_level,0
composite_score,0.040447058027755056
weighted_score,0.022534789472606388
