Metric,Value
total_return,-264.13875467007676
roi,-0.0002641387546700768
annualized_return,-0.0002641387546700768
sharpe_ratio,-37.28201747341746
sortino_ratio,-37.28201747341746
calmar_ratio,-0.6109246180836331
max_drawdown,0.00043235899626804244
max_drawdown_duration,0
volatility,0.0014291469909432884
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,38
winning_trades,8
losing_trades,7
win_rate,0.21052631578947367
profit_factor,0.5492082269118376
expectancy,-6.951019859738862
avg_win,40.225661206410976
avg_loss,83.70629204590922
avg_win_loss_ratio,0.4805571985478579
consistency_score,0
max_consecutive_wins,2
max_consecutive_losses,10
avg_holding_time_hours,0.40789473684210525
avg_trades_per_day,38.0
total_commission,144.7845773779113
total_slippage,-1226.575266572111
sample_size,38
confidence_level,0.1107466035209593
composite_score,0.3452389239761376
weighted_score,0.19234740050099094
