Metric,Value
total_return,-445.8519013208712
roi,-0.0004458519013208712
annualized_return,-0.0004458519013208712
sharpe_ratio,-25.277885342077678
sortino_ratio,-25.277885342077678
calmar_ratio,-0.8773549839744744
max_drawdown,0.0005081773164393886
max_drawdown_duration,0
volatility,0.003013596214064024
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,35
winning_trades,4
losing_trades,15
win_rate,0.11428571428571428
profit_factor,0.2618783292390243
expectancy,-12.738625752024891
avg_win,39.545970410805715
avg_loss,40.26905219760627
avg_win_loss_ratio,0.9820437346463412
consistency_score,0
max_consecutive_wins,1
max_consecutive_losses,18
avg_holding_time_hours,0.36666666666666664
avg_trades_per_day,35.0
total_commission,121.79159764669261
total_slippage,-633.7822698797873
sample_size,35
confidence_level,0.0453510585448975
composite_score,0.3059986485493043
weighted_score,0.1639278474371273
