Metric,Value
total_return,-519.7091571205206
roi,-0.0005197091571205205
annualized_return,-0.0005197091571205205
sharpe_ratio,-7.49401465574645
sortino_ratio,nan
calmar_ratio,-0.6275241708246464
max_drawdown,0.0008281898630893479
max_drawdown_duration,0
volatility,0.011406883723083796
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,29
winning_trades,8
losing_trades,9
win_rate,0.27586206896551724
profit_factor,0.41839642009332684
expectancy,-17.921005417948983
avg_win,46.733818863322306
avg_loss,99.28663422523321
avg_win_loss_ratio,0.47069597260499274
consistency_score,0
max_consecutive_wins,2
max_consecutive_losses,5
avg_holding_time_hours,0.7097701149425287
avg_trades_per_day,29.0
total_commission,108.2406434990858
total_slippage,178.5945332852594
sample_size,29
confidence_level,0.1469858133850274
composite_score,0.3531711468048697
weighted_score,0.1706993876223537
