Metric,Value
total_return,-315.5481553984067
roi,-0.00031554815539840673
annualized_return,-0.00031554815539840673
sharpe_ratio,-5.201356363592007
sortino_ratio,nan
calmar_ratio,-0.47039378346810823
max_drawdown,0.0006708170186092611
max_drawdown_duration,0
volatility,0.011489131565469244
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,28
winning_trades,6
losing_trades,9
win_rate,0.21428571428571427
profit_factor,0.5666073471356852
expectancy,-11.269576978514525
avg_win,68.75670443503714
avg_loss,80.89870911206994
avg_win_loss_ratio,0.8499110207035276
consistency_score,0
max_consecutive_wins,2
max_consecutive_losses,8
avg_holding_time_hours,0.9166666666666666
avg_trades_per_day,28.0
total_commission,112.38785693271525
total_slippage,-104.69016131211733
sample_size,28
confidence_level,0.10212321701189422
composite_score,0.3462249139321819
weighted_score,0.16157162650168488
