Metric,Value
total_return,-1518.4612062111573
roi,-0.0015184612062111573
annualized_return,-0.0015184612062111573
sharpe_ratio,-162.50768041332958
sortino_ratio,-162.50768041332958
calmar_ratio,-1.0000000000000204
max_drawdown,0.0015184612062111263
max_drawdown_duration,0
volatility,0.001300406918892136
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,41
winning_trades,2
losing_trades,17
win_rate,0.04878048780487805
profit_factor,0.11478170513861888
expectancy,-37.03563917588188
avg_win,98.44552888677782
avg_loss,100.90307435204193
avg_win_loss_ratio,0.9756444936782606
consistency_score,0
max_consecutive_wins,1
max_consecutive_losses,20
avg_holding_time_hours,0.4878048780487805
avg_trades_per_day,41.0
total_commission,144.71809826612133
total_slippage,309.6608923404599
sample_size,41
confidence_level,0.013480662282573552
composite_score,0.2776073106771048
weighted_score,0.1606156583203249
