Metric,Value
total_return,-710.1636932389972
roi,-0.0007101636932389972
annualized_return,-0.0007101636932389972
sharpe_ratio,-14.734348552004144
sortino_ratio,-14.734348552004144
calmar_ratio,-0.9804731704661397
max_drawdown,0.0007243071147998562
max_drawdown_duration,0
volatility,0.007430299681163866
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,36
winning_trades,6
losing_trades,10
win_rate,0.16666666666666666
profit_factor,0.1815391779643307
expectancy,-19.72676925663881
avg_win,26.253045069415702
avg_loss,86.76819636554916
avg_win_loss_ratio,0.3025652966072178
consistency_score,0
max_consecutive_wins,2
max_consecutive_losses,10
avg_holding_time_hours,0.5694444444444444
avg_trades_per_day,36.0
total_commission,117.04480217342038
total_slippage,838.6061959413204
sample_size,36
confidence_level,0.07870340628564097
composite_score,0.3138777121715268
weighted_score,0.1703907580359717
