Metric,Value
total_return,-528.9870231894923
roi,-0.0005289870231894923
annualized_return,-0.0005289870231894923
sharpe_ratio,-37.135705311667785
sortino_ratio,-37.135705311667785
calmar_ratio,-0.9784350850080411
max_drawdown,0.0005406460084014106
max_drawdown_duration,0
volatility,0.0023333975804318563
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,45
winning_trades,5
losing_trades,15
win_rate,0.1111111111111111
profit_factor,0.1910340504205196
expectancy,-11.75526718198872
avg_win,24.9836309457308
avg_loss,43.59367852787641
avg_win_loss_ratio,0.5731021512615588
consistency_score,0
max_consecutive_wins,2
max_consecutive_losses,18
avg_holding_time_hours,0.5
avg_trades_per_day,45.0
total_commission,160.3430927620585
total_slippage,-1037.4802953291596
sample_size,45
confidence_level,0.04840400437825558
composite_score,0.30165699321920975
weighted_score,0.18314888874023447
