Metric,Value
total_return,-1249.8165081836755
roi,-0.0012498165081836754
annualized_return,-0.0012498165081836754
sharpe_ratio,-20.6266447079151
sortino_ratio,-20.6266447079151
calmar_ratio,-0.9823608398396629
max_drawdown,0.0012722580720824189
max_drawdown_duration,0
volatility,0.00860425350532361
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,29
winning_trades,8
losing_trades,10
win_rate,0.27586206896551724
profit_factor,0.17337918283441733
expectancy,-43.09712097185088
avg_win,32.7677697533784
avg_loss,151.19586662107028
avg_win_loss_ratio,0.21672397854302167
consistency_score,0
max_consecutive_wins,4
max_consecutive_losses,7
avg_holding_time_hours,0.9655172413793104
avg_trades_per_day,29.0
total_commission,97.11779743724956
total_slippage,204.93005124736592
sample_size,29
confidence_level,0.1469858133850274
composite_score,0.33724983283900234
weighted_score,0.16300408587218446
