Metric,Value
total_return,-5424989.314512847
roi,-1.0
annualized_return,-1.0
sharpe_ratio,-25.168459431693623
sortino_ratio,-25.168459431693623
calmar_ratio,-0.18433216030948035
max_drawdown,5.424989314512847
max_drawdown_duration,0
volatility,27.159733613565095
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,28
winning_trades,0
losing_trades,9
win_rate,0.0
profit_factor,0.0
expectancy,-193749.6183754588
avg_win,0
avg_loss,602776.5905014274
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,28
avg_holding_time_hours,0.5208333333333334
avg_trades_per_day,28.0
total_commission,-844.6642366795916
total_slippage,-30027536.132905073
sample_size,28
confidence_level,0
composite_score,0.0
weighted_score,0.0
