Metric,Value
total_return,-1131.9284569869599
roi,-0.00113192845698696
annualized_return,-0.00113192845698696
sharpe_ratio,-22.822518961801876
sortino_ratio,-22.822518961801876
calmar_ratio,-0.7223859577949411
max_drawdown,0.0015669303158136318
max_drawdown_duration,0
volatility,0.0071255493686976255
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,45
winning_trades,10
losing_trades,19
win_rate,0.2222222222222222
profit_factor,0.4975507332587791
expectancy,-25.153965710821332
avg_win,112.08929359636299
avg_loss,118.56954699739946
avg_win_loss_ratio,0.9453463931916802
consistency_score,0
max_consecutive_wins,2
max_consecutive_losses,7
avg_holding_time_hours,0.6388888888888888
avg_trades_per_day,45.0
total_commission,167.6032672402027
total_slippage,-214.3837011701611
sample_size,45
confidence_level,0.12544551866005632
composite_score,0.34147934786903394
weighted_score,0.2073267469204849
