Metric,Value
total_return,-1071.257756045401
roi,-0.0010712577560454011
annualized_return,-0.0010712577560454011
sharpe_ratio,-55.306869095414775
sortino_ratio,-55.306869095414775
calmar_ratio,-0.9623057530794824
max_drawdown,0.001113219735637307
max_drawdown_duration,0
volatility,0.00280215603950304
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,37
winning_trades,5
losing_trades,12
win_rate,0.13513513513513514
profit_factor,0.0881214583615035
expectancy,-28.95291232555138
avg_win,20.704686300473682
avg_loss,97.89843229564747
avg_win_loss_ratio,0.2114915000676084
consistency_score,0
max_consecutive_wins,1
max_consecutive_losses,18
avg_holding_time_hours,0.6824324324324325
avg_trades_per_day,37.0
total_commission,137.00201130675
total_slippage,-145.6450128324753
sample_size,37
confidence_level,0.059132072625076235
composite_score,0.29957723069515096
weighted_score,0.16476747688233304
