Metric,Value
total_return,-6061618.960467632
roi,-1.0
annualized_return,-1.0
sharpe_ratio,-34.934387222319195
sortino_ratio,-34.934387222319195
calmar_ratio,-0.16497242840926668
max_drawdown,6.061618960467633
max_drawdown_duration,0
volatility,21.863385899923514
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,37
winning_trades,0
losing_trades,15
win_rate,0.0
profit_factor,0.0
expectancy,-163827.53947209817
avg_win,0
avg_loss,404107.9306978422
avg_win_loss_ratio,0.0
consistency_score,0.2108336189605391
max_consecutive_wins,0
max_consecutive_losses,37
avg_holding_time_hours,0.3063063063063063
avg_trades_per_day,37.0
total_commission,494.57939493220437
total_slippage,14480286.8645095
sample_size,37
confidence_level,0
composite_score,0.03162504284408086
weighted_score,0.017393773564244475
