Metric,Value
total_return,-3733805.1787734153
roi,-3.7338051787734154
annualized_return,nan
sharpe_ratio,-19.820363715703838
sortino_ratio,-19.820363715703838
calmar_ratio,nan
max_drawdown,3.7338051787734163
max_drawdown_duration,0
volatility,2.2615963454679315
downside_deviation,0.0
var_95,-0.2892386422307109
cvar_95,-0.47868031816515944
total_trades,386
winning_trades,0
losing_trades,170
win_rate,0.0
profit_factor,0.0
expectancy,-9673.07041133009
avg_win,0
avg_loss,21963.55987513774
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,386
avg_holding_time_hours,0.7182642487046632
avg_trades_per_day,14.296296296296296
total_commission,1666.4876807200267
total_slippage,-76637.67852995894
sample_size,386
confidence_level,0
composite_score,-0.9173070411330091
weighted_score,-0.9173070411330091
