Metric,Value
total_return,-2692974.4438253995
roi,-2.6929744438253995
annualized_return,nan
sharpe_ratio,-25.49273693588829
sortino_ratio,-26.88850416477587
calmar_ratio,nan
max_drawdown,2.6929744438254004
max_drawdown_duration,0
volatility,1.4018638071237035
downside_deviation,0.0
var_95,-0.2905583881393913
cvar_95,-0.3855986831411497
total_trades,346
winning_trades,0
losing_trades,154
win_rate,0.0
profit_factor,0.0
expectancy,-7783.163132443351
avg_win,0
avg_loss,17486.84703782727
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,346
avg_holding_time_hours,0.8644026974951831
avg_trades_per_day,13.84
total_commission,1374.018594729157
total_slippage,-1846928.794557684
sample_size,346
confidence_level,0
composite_score,-0.7283163132443352
weighted_score,-0.7283163132443352
