Metric,Value
total_return,-4330744.92068767
roi,-4.33074492068767
annualized_return,nan
sharpe_ratio,-22.19264117585708
sortino_ratio,-22.19264117585708
calmar_ratio,nan
max_drawdown,4.330744920687672
max_drawdown_duration,0
volatility,2.3426206297973104
downside_deviation,0.0
var_95,-0.38327235787664005
cvar_95,-0.5225218356758308
total_trades,399
winning_trades,0
losing_trades,179
win_rate,0.0
profit_factor,0.0
expectancy,-10853.997294956565
avg_win,0
avg_loss,24194.105702165754
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,399
avg_holding_time_hours,0.7642021720969089
avg_trades_per_day,14.777777777777779
total_commission,1774.868115344491
total_slippage,597652.7427890422
sample_size,399
confidence_level,0
composite_score,-1.0353997294956565
weighted_score,-1.0353997294956565
