Metric,Value
total_return,-4085990.132433761
roi,-4.085990132433761
annualized_return,nan
sharpe_ratio,-23.721376751970226
sortino_ratio,-24.60675738164366
calmar_ratio,nan
max_drawdown,4.085990132433761
max_drawdown_duration,0
volatility,2.0678345149225383
downside_deviation,0.0
var_95,-0.4797816302239279
cvar_95,-0.48821679413686175
total_trades,389
winning_trades,0
losing_trades,177
win_rate,0.0
profit_factor,0.0
expectancy,-10503.830674636918
avg_win,0
avg_loss,23084.690013750063
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,389
avg_holding_time_hours,0.7945586975149957
avg_trades_per_day,13.892857142857142
total_commission,1539.3729459054323
total_slippage,-1473525.338498683
sample_size,389
confidence_level,0
composite_score,-1.0003830674636918
weighted_score,-1.0003830674636918
