Metric,Value
total_return,-2966043.28447027
roi,-2.96604328447027
annualized_return,nan
sharpe_ratio,-38.1417285043496
sortino_ratio,-38.1417285043496
calmar_ratio,nan
max_drawdown,2.9660432844702687
max_drawdown_duration,0
volatility,0.9803474265740545
downside_deviation,0.0
var_95,-0.24139407297273882
cvar_95,-0.30697756267884935
total_trades,368
winning_trades,0
losing_trades,169
win_rate,0.0
profit_factor,0.0
expectancy,-8059.900229538777
avg_win,0
avg_loss,17550.55197911402
avg_win_loss_ratio,0.0
consistency_score,0.0137640692141765
max_consecutive_wins,0
max_consecutive_losses,368
avg_holding_time_hours,0.8802083333333334
avg_trades_per_day,14.72
total_commission,1543.4376902687982
total_slippage,-795437.8706774637
sample_size,368
confidence_level,0
composite_score,-0.7539254125717514
weighted_score,-0.7539254125717514
