Metric,Value
total_return,-3153241.6191263325
roi,-3.1532416191263324
annualized_return,nan
sharpe_ratio,-24.366315940925002
sortino_ratio,-25.368260775614274
calmar_ratio,nan
max_drawdown,3.1532416191263324
max_drawdown_duration,0
volatility,1.553739166860642
downside_deviation,0.0
var_95,-0.33877546161180194
cvar_95,-0.3658048766343963
total_trades,367
winning_trades,0
losing_trades,155
win_rate,0.0
profit_factor,0.0
expectancy,-8591.939016693004
avg_win,0
avg_loss,20343.494316944085
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,367
avg_holding_time_hours,0.6689373297002724
avg_trades_per_day,13.107142857142858
total_commission,1731.4045033115392
total_slippage,1066627.141021515
sample_size,367
confidence_level,0
composite_score,-0.8091939016693005
weighted_score,-0.8091939016693005
