Metric,Value
total_return,-3322175.5487109195
roi,-3.3221755487109195
annualized_return,nan
sharpe_ratio,-26.09101845586454
sortino_ratio,-27.637107498349366
calmar_ratio,nan
max_drawdown,3.322175548710921
max_drawdown_duration,0
volatility,1.6895675778680994
downside_deviation,0.0
var_95,-0.35907602373469694
cvar_95,-0.41924983661798537
total_trades,384
winning_trades,0
losing_trades,163
win_rate,0.0
profit_factor,0.0
expectancy,-8651.49882476802
avg_win,0
avg_loss,20381.44508411607
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,384
avg_holding_time_hours,0.7521701388888888
avg_trades_per_day,15.36
total_commission,1686.9293526855276
total_slippage,-614751.8855808633
sample_size,384
confidence_level,0
composite_score,-0.815149882476802
weighted_score,-0.815149882476802
