Metric,Value
total_return,-3015078.352635207
roi,-3.015078352635207
annualized_return,nan
sharpe_ratio,-21.052034938253662
sortino_ratio,-21.536131939274124
calmar_ratio,nan
max_drawdown,3.015078352635206
max_drawdown_duration,0
volatility,1.7195933950233828
downside_deviation,0.0
var_95,-0.3494679740028463
cvar_95,-0.3613559817227974
total_trades,376
winning_trades,0
losing_trades,153
win_rate,0.0
profit_factor,0.0
expectancy,-8018.8254059447
avg_win,0
avg_loss,19706.394461668024
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,376
avg_holding_time_hours,0.6908244680851064
avg_trades_per_day,13.925925925925926
total_commission,1726.6113687734157
total_slippage,240998.72127746348
sample_size,376
confidence_level,8.673617379884035e-19
composite_score,-0.75188254059447
weighted_score,-0.75188254059447
