Metric,Value
total_return,-15699854.920457447
roi,-15.699854920457447
annualized_return,nan
sharpe_ratio,-29.16909404935022
sortino_ratio,-29.16909404935022
calmar_ratio,nan
max_drawdown,15.699854920457442
max_drawdown_duration,0
volatility,6.782458572866475
downside_deviation,0.0
var_95,-1.8205647617050449
cvar_95,-1.8793771292313761
total_trades,395
winning_trades,0
losing_trades,182
win_rate,0.0
profit_factor,0.0
expectancy,-39746.46815305683
avg_win,0
avg_loss,86262.93912339257
avg_win_loss_ratio,0.0
consistency_score,0.07312254076348612
max_consecutive_wins,0
max_consecutive_losses,395
avg_holding_time_hours,0.7181434599156118
avg_trades_per_day,15.8
total_commission,3888.934630187313
total_slippage,751952.2710424843
sample_size,395
confidence_level,0
composite_score,-3.9136784341911595
weighted_score,-3.9136784341911595
