Metric,Value
total_return,-25043615.967518244
roi,-25.043615967518242
annualized_return,-inf
sharpe_ratio,-16.075627843324096
sortino_ratio,-16.075627843324096
calmar_ratio,-inf
max_drawdown,25.043615967518242
max_drawdown_duration,0
volatility,196.29190490483555
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,35
winning_trades,0
losing_trades,12
win_rate,0.0
profit_factor,0.0
expectancy,-715531.8847862355
avg_win,0
avg_loss,2086967.997293187
avg_win_loss_ratio,0.0
consistency_score,0.16084504924670295
max_consecutive_wins,0
max_consecutive_losses,35
avg_holding_time_hours,0.4166666666666667
avg_trades_per_day,35.0
total_commission,-1217.6016318403663
total_slippage,-9606343.63261943
sample_size,35
confidence_level,0
composite_score,-71.47906172123655
weighted_score,-38.292354493519575
