Metric,Value
total_return,-4814430.877989953
roi,-4.814430877989953
annualized_return,nan
sharpe_ratio,-19.967746887201397
sortino_ratio,-19.967746887201397
calmar_ratio,nan
max_drawdown,4.814430877989955
max_drawdown_duration,0
volatility,3.038992301207918
downside_deviation,0.0
var_95,-0.5955218011323962
cvar_95,-0.696319251129091
total_trades,395
winning_trades,0
losing_trades,176
win_rate,0.0
profit_factor,0.0
expectancy,-12188.432602506211
avg_win,0
avg_loss,27354.72089767019
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,395
avg_holding_time_hours,0.6651898734177215
avg_trades_per_day,15.8
total_commission,1681.3027047966818
total_slippage,-948916.9561107825
sample_size,395
confidence_level,0
composite_score,-1.1688432602506211
weighted_score,-1.1688432602506211
