Metric,Value
total_return,-3025691.5351112727
roi,-3.0256915351112728
annualized_return,nan
sharpe_ratio,-21.103765725053933
sortino_ratio,-21.59445509073279
calmar_ratio,nan
max_drawdown,3.0256915351112745
max_drawdown_duration,0
volatility,1.7214130830786807
downside_deviation,0.0
var_95,-0.33926079278799454
cvar_95,-0.3696996249935983
total_trades,396
winning_trades,0
losing_trades,165
win_rate,0.0
profit_factor,0.0
expectancy,-7640.635189674931
avg_win,0
avg_loss,18337.524455219835
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,396
avg_holding_time_hours,0.7487373737373737
avg_trades_per_day,14.666666666666666
total_commission,1586.4733841709754
total_slippage,-1929873.1518774123
sample_size,396
confidence_level,0
composite_score,-0.7140635189674932
weighted_score,-0.7140635189674932
