Metric,Value
total_return,-3907044.2587973312
roi,-3.907044258797331
annualized_return,nan
sharpe_ratio,-28.86576065948584
sortino_ratio,-30.94625845620423
calmar_ratio,nan
max_drawdown,3.907044258797333
max_drawdown_duration,0
volatility,1.6249192827057637
downside_deviation,0.0
var_95,-0.3679193039554159
cvar_95,-0.3773666241098599
total_trades,420
winning_trades,0
losing_trades,199
win_rate,0.0
profit_factor,0.0
expectancy,-9302.486330469836
avg_win,0
avg_loss,19633.388235162467
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,420
avg_holding_time_hours,0.7986111111111112
avg_trades_per_day,15.555555555555555
total_commission,1750.3034679015718
total_slippage,-1182121.1412393462
sample_size,420
confidence_level,0
composite_score,-0.8802486330469836
weighted_score,-0.8802486330469836
