Metric,Value
total_return,-25798132.21211926
roi,-25.79813221211926
annualized_return,-inf
sharpe_ratio,-146.59797355984028
sortino_ratio,-146.59797355984028
calmar_ratio,-inf
max_drawdown,25.798132212119263
max_drawdown_duration,0
volatility,22.173462427842917
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,31
winning_trades,0
losing_trades,14
win_rate,0.0
profit_factor,0.0
expectancy,-832197.8132941696
avg_win,0
avg_loss,1842723.7294370902
avg_win_loss_ratio,0.0
consistency_score,0.3291662775794172
max_consecutive_wins,0
max_consecutive_losses,31
avg_holding_time_hours,0.5161290322580645
avg_trades_per_day,31.0
total_commission,1658.1851849986206
total_slippage,21860159.759904604
sample_size,31
confidence_level,0
composite_score,-83.12040638778005
weighted_score,-42.15392038237417
