Metric,Value
total_return,-3478922.341528629
roi,-3.478922341528629
annualized_return,nan
sharpe_ratio,-25.87069620859663
sortino_ratio,-25.87069620859663
calmar_ratio,nan
max_drawdown,3.4789223415286306
max_drawdown_duration,0
volatility,1.6144547391215813
downside_deviation,0.0
var_95,-0.3398408924518931
cvar_95,-0.3588684147118529
total_trades,383
winning_trades,0
losing_trades,169
win_rate,0.0
profit_factor,0.0
expectancy,-9083.348150205298
avg_win,0
avg_loss,20585.33929898597
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,383
avg_holding_time_hours,0.692993907745866
avg_trades_per_day,13.678571428571429
total_commission,1788.3351931245047
total_slippage,1189443.8403911039
sample_size,383
confidence_level,0
composite_score,-0.8583348150205299
weighted_score,-0.8583348150205299
