Metric,Value
total_return,-15803638.481558155
roi,-15.803638481558155
annualized_return,nan
sharpe_ratio,-19.023763432354965
sortino_ratio,-19.023763432354965
calmar_ratio,nan
max_drawdown,15.803638481558153
max_drawdown_duration,0
volatility,10.468267521080104
downside_deviation,0.0
var_95,-2.425447838212042
cvar_95,-2.4267428415804218
total_trades,375
winning_trades,0
losing_trades,150
win_rate,0.0
profit_factor,0.0
expectancy,-42143.035950821744
avg_win,0
avg_loss,105357.58987705439
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,375
avg_holding_time_hours,0.624
avg_trades_per_day,15.0
total_commission,3497.944993503396
total_slippage,-1791801.3989376477
sample_size,375
confidence_level,8.673617379884035e-19
composite_score,-4.164303595082175
weighted_score,-4.164303595082175
