Metric,Value
total_return,-18857555.16141267
roi,-18.85755516141267
annualized_return,-inf
sharpe_ratio,-62.01262688822355
sortino_ratio,-62.01262688822355
calmar_ratio,-inf
max_drawdown,18.85755516141267
max_drawdown_duration,0
volatility,38.31593773024348
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,33
winning_trades,0
losing_trades,14
win_rate,0.0
profit_factor,0.0
expectancy,-571441.0654973537
avg_win,0
avg_loss,1346968.2258151907
avg_win_loss_ratio,0.0
consistency_score,0.2693130639011887
max_consecutive_wins,0
max_consecutive_losses,33
avg_holding_time_hours,0.45959595959595956
avg_trades_per_day,33.0
total_commission,-86.866742072779
total_slippage,-4227134.3769684695
sample_size,33
confidence_level,0
composite_score,-57.053709590150184
weighted_score,-29.749434286292598
