Metric,Value
total_return,-15357282.180740554
roi,-15.357282180740555
annualized_return,nan
sharpe_ratio,-22.956941092017676
sortino_ratio,-22.956941092017676
calmar_ratio,nan
max_drawdown,15.357282180740546
max_drawdown_duration,0
volatility,8.429770965637061
downside_deviation,0.0
var_95,-1.6211706783912687
cvar_95,-2.393997751177041
total_trades,441
winning_trades,0
losing_trades,192
win_rate,0.0
profit_factor,0.0
expectancy,-34823.76911732552
avg_win,0
avg_loss,79985.84469135705
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,441
avg_holding_time_hours,0.7072940287226002
avg_trades_per_day,17.64
total_commission,4024.883373269124
total_slippage,-832774.7512002959
sample_size,441
confidence_level,0
composite_score,-3.4323769117325527
weighted_score,-3.4323769117325527
